date,datatype,station,flags,temp_c
2021-07-23,TMAX,GHCND:USW00014732,",,W,2400",28.3
2021-07-23,TMIN,GHCND:USW00014732,",,W,2400",21.1
2021-07-24,TMAX,GHCND:USW00014732,",,W,2400",28.3
2021-07-24,TMIN,GHCND:USW00014732,",,W,2400",21.1
2021-07-25,TMAX,GHCND:USW00014732,",,W,2400",28.9
2021-07-25,TMIN,GHCND:USW00014732,",,W,2400",20.0
2021-07-26,TMAX,GHCND:USW00014732,",,W,2400",32.2
2021-07-26,TMIN,GHCND:USW00014732,",,W,2400",22.2
2021-07-27,TMAX,GHCND:USW00014732,",,W,2400",32.8
2021-07-27,TMIN,GHCND:USW00014732,",,W,2400",23.3
2021-07-28,TMAX,GHCND:USW00014732,",,W,2400",27.8
2021-07-28,TMIN,GHCND:USW00014732,",,W,2400",21.7
2021-07-29,TMAX,GHCND:USW00014732,",,W,2400",26.7
2021-07-29,TMIN,GHCND:USW00014732,",,W,2400",22.8
2021-07-30,TMAX,GHCND:USW00014732,",,W,2400",29.4
2021-07-30,TMIN,GHCND:USW00014732,",,W,2400",20.0
2021-07-31,TMAX,GHCND:USW00014732,",,W,2400",26.1
2021-07-31,TMIN,GHCND:USW00014732,",,W,2400",17.8
2021-08-01,TMAX,GHCND:USW00014732,",,W,2400",25.6
2021-08-01,TMIN,GHCND:USW00014732,",,W,2400",20.0
2021-08-02,TMAX,GHCND:USW00014732,",,W,2400",27.2
2021-08-02,TMIN,GHCND:USW00014732,",,W,2400",17.8
2021-08-03,TMAX,GHCND:USW00014732,",,W,2400",26.1
2021-08-03,TMIN,GHCND:USW00014732,",,W,2400",20.0
2021-08-04,TMAX,GHCND:USW00014732,",,W,2400",23.9
2021-08-04,TMIN,GHCND:USW00014732,",,W,2400",21.1
2021-08-05,TMAX,GHCND:USW00014732,",,W,2400",27.2
2021-08-05,TMIN,GHCND:USW00014732,",,W,2400",20.6
2021-08-06,TMAX,GHCND:USW00014732,",,W,2400",31.7
2021-08-06,TMIN,GHCND:USW00014732,",,W,2400",21.7
2021-08-07,TMAX,GHCND:USW00014732,",,W,2400",31.7
2021-08-07,TMIN,GHCND:USW00014732,",,W,2400",23.9
2021-08-08,TMAX,GHCND:USW00014732,",,W,2400",26.1
