Airport.Code,City,State,Airport,Month,MonthNumber,Quarter,Year,Date,Carrier Delays Count,Late Aircraft Delays Count,National Aviation System Delays Count,Security Delays Count,Weather Delays Count,Carriers.Total,Flights Cancelled Count,Flights Delayed Count,Flights Diverted Count,Flights On Time Count,Flights Total Count,Minutes Delayed Carrier,Minutes Delayed Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed Security,Minutes Delayed Weather,Minutes Delayed Total
MCO,Orlando, FL, Orlando International,December,12,Q4,2005,38687,862,925,1087,11,72,18,64,2959,12,7386,10421,41488,53939,37365,554,5032,138378
MDW,Chicago, IL, Chicago Midway International,December,12,Q4,2005,38687,393,695,584,5,61,11,219,1738,85,5922,7964,16879,35376,26375,117,5223,83970
MIA,Miami, FL, Miami International,December,12,Q4,2005,38687,573,408,906,14,93,12,55,1994,10,3779,5838,27961,24493,31970,356,5575,90355
MSP,Minneapolis, MN, Minneapolis-St Paul International,December,12,Q4,2005,38687,988,896,1213,16,119,15,122,3233,18,7079,10452,56610,52134,39695,450,8303,157196
ORD,Chicago, IL, Chicago O'Hare International,December,12,Q4,2005,38687,1870,2586,4713,17,292,14,1289,9479,16,18445,29229,114235,168738,303125,674,22736,609512
PDX,Portland, OR, Portland International,December,12,Q4,2005,38687,548,562,353,4,26,12,71,1493,5,3114,4683,24953,30797,11389,127,2057,69323
PHL,Philadelphia, PA, Philadelphia International,December,12,Q4,2005,38687,483,608,893,3,94,13,158,2082,9,6722,8971,22002,36854,42180,111,6963,108110
PHX,Phoenix, AZ, Phoenix Sky Harbor International,December,12,Q4,2005,38687,971,1204,784,17,60,15,198,3038,14,11752,15002,45483,58048,24629,545,3877,132582
SAN,San Diego, CA, San Diego International,December,12,Q4,2005,38687,643,620,485,9,58,15,110,1810,34,5636,7590,27572,30286,16010,282,3242,77392
SEA,Seattle, WA, Seattle/Tacoma International,December,12,Q4,2005,38687,969,928,857,17,64,13,104,2834,19,5786,8743,47939,56745,27628,547,4605,137464
SFO,San Francisco, CA, San Francisco International,December,12,Q4,2005,38687,911,766,2505,6,119,14,371,4307,35,6259,10972,46898,60349,194437,325,9636,311645
SLC,Salt Lake City, UT, Salt Lake City International,December,12,Q4,2005,38687,1022,840,584,29,166,12,159,2644,10,8656,11469,42784,42255,18738,842,9201,113820
TPA,Tampa, FL, Tampa International,December,12,Q4,2005,38687,558,558,694,10,38,14,46,1858,6,4703,6613,26387,34286,24104,432,3301,88510
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,January,1,Q1,2006,38718,1634,1506,4563,7,401,13,714,8109,34,24417,33274,116197,122615,277653,203,32153,548821
BOS,Boston, MA, Logan International,January,1,Q1,2006,38718,531,629,1136,4,129,13,375,2431,31,7679,10516,29941,44596,56495,352,10802,142186
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,January,1,Q1,2006,38718,372,631,352,3,49,15,102,1411,21,7336,8870,17229,34195,13562,121,4242,69353
CLT,Charlotte, NC, Charlotte Douglas International,January,1,Q1,2006,38718,501,546,744,1,67,11,186,1862,19,7980,10047,25148,31355,23832,52,5091,85478
DCA,Washington, DC, Ronald Reagan Washington National,January,1,Q1,2006,38718,430,398,569,2,77,15,260,1473,79,6785,8597,20473,24239,20934,25,5479,71150
DEN,Denver, CO, Denver International,January,1,Q1,2006,38718,1155,909,816,4,75,16,214,2958,9,14790,17971,51783,57858,25430,174,4783,140028
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,January,1,Q1,2006,38718,754,1454,1287,6,219,15,182,3719,22,21242,25165,53207,74763,37981,448,8759,175158
DTW,Detroit, MI, Detroit Metro Wayne County,January,1,Q1,2006,38718,562,502,562,8,93,15,170,1729,10,8041,9950,34572,28082,16322,234,5798,85008
EWR,Newark, NJ, Newark Liberty International,January,1,Q1,2006,38718,340,625,2796,5,148,13,362,3914,33,8304,12613,21936,46145,192530,393,12090,273094
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,January,1,Q1,2006,38718,358,433,369,5,39,12,27,1202,10,4884,6123,15735,28541,12261,153,3070,59760
IAD,Washington, DC, Washington Dulles International,January,1,Q1,2006,38718,439,577,395,4,46,13,237,1458,27,5195,6917,27700,43858,15582,204,3871,91215
JFK,New York, NY, John F. Kennedy International,January,1,Q1,2006,38718,555,669,990,7,88,12,106,2311,40,5781,8238,31597,40211,46852,393,7229,126282
LAS,Las Vegas, NV, McCarran International,January,1,Q1,2006,38718,778,1050,896,7,85,15,115,2812,10,12039,14976,35476,55394,32948,209,7280,131307
LAX,Los Angeles, CA, Los Angeles International,January,1,Q1,2006,38718,1234,1010,1031,8,111,18,279,3393,22,15392,19086,58128,58651,34119,223,6908,158029
LGA,New York, NY, LaGuardia,January,1,Q1,2006,38718,414,542,2217,3,178,15,446,3353,31,7027,10857,22129,41178,122821,75,11647,197850
MCO,Orlando, FL, Orlando International,January,1,Q1,2006,38718,551,629,509,4,53,16,70,1748,29,8248,10095,26675,38896,17234,111,3382,86298
MDW,Chicago, IL, Chicago Midway International,January,1,Q1,2006,38718,301,497,317,2,50,12,121,1167,16,6926,8230,13658,26904,11796,55,3266,55679
MIA,Miami, FL, Miami International,January,1,Q1,2006,38718,347,339,526,2,50,11,35,1265,6,4622,5928,20226,23986,16144,85,3352,63793
MSP,Minneapolis, MN, Minneapolis-St Paul International,January,1,Q1,2006,38718,595,401,558,7,74,14,95,1635,16,8144,9890,36313,22447,16741,261,5134,80896
ORD,Chicago, IL, Chicago O'Hare International,January,1,Q1,2006,38718,1308,1849,3820,9,188,12,1084,7177,106,22461,30828,80222,133127,211851,309,15707,441216
PDX,Portland, OR, Portland International,January,1,Q1,2006,38718,346,326,300,3,19,13,35,992,3,3519,4549,14719,17448,9423,55,1327,42972
PHL,Philadelphia, PA, Philadelphia International,January,1,Q1,2006,38718,374,489,1386,4,144,13,234,2399,50,6459,9142,18512,35925,84762,105,15118,154422
PHX,Phoenix, AZ, Phoenix Sky Harbor International,January,1,Q1,2006,38718,815,972,644,8,49,15,236,2489,20,15465,18210,37980,47345,19094,282,3159,107860
SAN,San Diego, CA, San Diego International,January,1,Q1,2006,38718,465,435,303,3,44,15,105,1251,52,6190,7598,19616,23615,10164,53,2345,55793
SEA,Seattle, WA, Seattle/Tacoma International,January,1,Q1,2006,38718,654,728,795,10,38,13,142,2226,16,6039,8423,32940,43663,24221,315,2342,103481
SFO,San Francisco, CA, San Francisco International,January,1,Q1,2006,38718,889,533,1205,7,60,14,216,2693,19,7799,10727,42563,35127,58969,253,4036,140948
SLC,Salt Lake City, UT, Salt Lake City International,January,1,Q1,2006,38718,795,587,455,11,109,13,104,1954,3,9362,11423,35048,27085,12964,251,5243,80591
TPA,Tampa, FL, Tampa International,January,1,Q1,2006,38718,368,450,348,3,38,12,29,1209,2,5113,6353,17643,29198,10617,91,2612,60161
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,February,2,Q1,2006,38749,1352,1427,4880,9,342,13,644,8013,26,21755,30438,91889,84771,234197,412,21941,433210
BOS,Boston, MA, Logan International,February,2,Q1,2006,38749,469,661,941,7,80,13,501,2155,6,7259,9921,27935,40964,38536,174,7381,114990
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,February,2,Q1,2006,38749,358,628,239,7,49,14,178,1281,7,6450,7916,15878,33836,7593,277,3684,61268
CLT,Charlotte, NC, Charlotte Douglas International,February,2,Q1,2006,38749,438,500,470,3,53,11,160,1464,2,7204,8830,17351,26411,12673,206,3304,59945
DCA,Washington, DC, Ronald Reagan Washington National,February,2,Q1,2006,38749,351,360,364,2,58,15,308,1136,7,6186,7637,18394,18838,10677,53,4135,52097
DEN,Denver, CO, Denver International,February,2,Q1,2006,38749,1147,1148,1423,10,113,15,206,3839,11,12695,16751,61140,71227,49770,491,7119,189747
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,February,2,Q1,2006,38749,824,1920,1824,9,190,15,625,4768,43,17367,22803,61049,116674,62592,312,12006,252633
DTW,Detroit, MI, Detroit Metro Wayne County,February,2,Q1,2006,38749,531,517,622,5,89,15,188,1766,7,7331,9292,30019,27633,17941,188,5676,81457
EWR,Newark, NJ, Newark Liberty International,February,2,Q1,2006,38749,323,708,2676,5,144,12,693,3854,18,7100,11665,23029,45608,149804,330,12748,231519
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,February,2,Q1,2006,38749,362,439,411,3,45,12,94,1257,10,4371,5732,20025,28213,17401,117,3504,69260
IAD,Washington, DC, Washington Dulles International,February,2,Q1,2006,38749,389,560,248,6,32,14,283,1233,23,5539,7078,24596,36910,8615,260,2253,72634
JFK,New York, NY, John F. Kennedy International,February,2,Q1,2006,38749,438,808,556,11,58,12,334,1871,17,5272,7494,24574,50940,22493,280,11676,109963
LAS,Las Vegas, NV, McCarran International,February,2,Q1,2006,38749,760,1318,1462,7,64,15,94,3611,41,9838,13584,38347,70983,55425,230,4739,169724
LAX,Los Angeles, CA, Los Angeles International,February,2,Q1,2006,38749,1158,1232,1543,10,101,16,283,4044,40,13007,17374,54842,68187,60174,467,6755,190425
LGA,New York, NY, LaGuardia,February,2,Q1,2006,38749,361,567,1827,3,145,15,640,2900,16,6365,9921,22483,39261,88547,75,8738,159104
MCO,Orlando, FL, Orlando International,February,2,Q1,2006,38749,520,651,639,5,70,16,121,1887,18,7347,9373,28179,38041,21370,187,4546,92323
MDW,Chicago, IL, Chicago Midway International,February,2,Q1,2006,38749,353,625,462,3,56,13,121,1500,27,5834,7482,15772,35127,16776,125,3579,71379
MIA,Miami, FL, Miami International,February,2,Q1,2006,38749,296,302,516,3,59,11,93,1175,5,4139,5412,17324,19030,17957,119,3971,58401
MSP,Minneapolis, MN, Minneapolis-St Paul International,February,2,Q1,2006,38749,587,485,627,9,85,14,123,1795,11,7244,9173,36359,26445,18497,308,4826,86435
ORD,Chicago, IL, Chicago O'Hare International,February,2,Q1,2006,38749,1239,1744,3396,10,158,12,822,6545,44,20739,28150,77144,121135,189556,506,10168,398509
PDX,Portland, OR, Portland International,February,2,Q1,2006,38749,303,415,318,4,18,12,32,1060,5,2966,4063,14552,21488,9274,142,821,46277
PHL,Philadelphia, PA, Philadelphia International,February,2,Q1,2006,38749,438,554,748,2,71,13,297,1811,26,6412,8546,21045,34003,29101,55,6185,90389
PHX,Phoenix, AZ, Phoenix Sky Harbor International,February,2,Q1,2006,38749,819,1124,1199,18,64,15,178,3224,35,12887,16324,41896,56959,42822,699,4972,147348
SAN,San Diego, CA, San Diego International,February,2,Q1,2006,38749,520,584,558,6,72,15,95,1740,74,5053,6962,22801,30032,22548,147,4974,80502
SEA,Seattle, WA, Seattle/Tacoma International,February,2,Q1,2006,38749,578,671,886,11,40,13,75,2188,16,5232,7511,29870,39433,28403,425,2219,100350
SFO,San Francisco, CA, San Francisco International,February,2,Q1,2006,38749,757,645,1573,4,66,14,231,3048,36,6427,9742,38482,40924,77323,191,4435,161355
SLC,Salt Lake City, UT, Salt Lake City International,February,2,Q1,2006,38749,789,626,675,16,96,13,92,2200,13,8070,10375,35886,31434,21827,587,5123,94857
TPA,Tampa, FL, Tampa International,February,2,Q1,2006,38749,379,477,445,3,46,12,88,1347,53,4514,6002,19547,30384,22774,116,4878,77699
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,March,3,Q1,2006,38777,1516,1596,4458,13,286,13,333,7870,16,26769,34988,92476,82823,194182,1024,15803,386308
BOS,Boston, MA, Logan International,March,3,Q1,2006,38777,578,640,807,5,57,13,126,2089,5,8970,11190,28691,36964,25306,136,3561,94658
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,March,3,Q1,2006,38777,427,669,281,11,31,14,33,1423,4,7440,8900,19258,33721,9804,327,3068,66178
CLT,Charlotte, NC, Charlotte Douglas International,March,3,Q1,2006,38777,503,545,517,3,62,11,82,1630,3,8237,9952,21814,28368,15412,190,4335,70119
DCA,Washington, DC, Ronald Reagan Washington National,March,3,Q1,2006,38777,424,453,471,7,43,15,127,1399,2,6906,8434,19888,25951,14869,349,2604,63661
DEN,Denver, CO, Denver International,March,3,Q1,2006,38777,1331,1743,1369,5,172,15,281,4622,12,14278,19193,64958,112207,47796,122,13720,238803
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,March,3,Q1,2006,38777,914,1980,1912,8,244,16,397,5054,84,19571,25106,64348,133860,82502,302,17879,298891
DTW,Detroit, MI, Detroit Metro Wayne County,March,3,Q1,2006,38777,573,580,571,10,88,15,125,1824,13,8808,10770,37488,34196,20345,344,5751,98124
EWR,Newark, NJ, Newark Liberty International,March,3,Q1,2006,38777,433,1063,3153,14,111,12,296,4773,24,8899,13992,25249,69908,188408,577,6966,291108
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,March,3,Q1,2006,38777,323,396,291,5,25,11,13,1038,11,5535,6597,15286,23064,10306,200,1360,50216
IAD,Washington, DC, Washington Dulles International,March,3,Q1,2006,38777,439,566,310,8,31,13,121,1353,5,6777,8256,24028,38109,15173,247,2199,79756
JFK,New York, NY, John F. Kennedy International,March,3,Q1,2006,38777,492,574,796,9,38,12,60,1907,20,6671,8658,24045,28677,25335,313,2835,81205
LAS,Las Vegas, NV, McCarran International,March,3,Q1,2006,38777,937,1601,1517,13,103,15,123,4171,19,11399,15712,44358,78174,51790,404,5825,180551
LAX,Los Angeles, CA, Los Angeles International,March,3,Q1,2006,38777,1534,1532,1738,13,79,16,269,4893,17,14431,19610,73721,82628,55103,488,5380,217320
LGA,New York, NY, LaGuardia,March,3,Q1,2006,38777,483,630,1852,8,121,15,303,3095,18,7766,11182,28421,42919,96176,583,7400,175499
MCO,Orlando, FL, Orlando International,March,3,Q1,2006,38777,517,667,395,10,35,16,15,1626,10,9114,10765,23751,35642,14129,528,2775,76825
MDW,Chicago, IL, Chicago Midway International,March,3,Q1,2006,38777,357,657,418,6,63,13,69,1501,46,6890,8506,16287,34009,17002,188,4606,72092
MIA,Miami, FL, Miami International,March,3,Q1,2006,38777,306,334,334,8,36,11,14,1017,16,5041,6088,15575,18531,12290,353,2246,48995
MSP,Minneapolis, MN, Minneapolis-St Paul International,March,3,Q1,2006,38777,563,629,693,11,152,14,134,2049,76,8419,10678,41167,40798,27113,500,16247,125825
ORD,Chicago, IL, Chicago O'Hare International,March,3,Q1,2006,38777,1419,2471,5514,8,197,12,1068,9608,105,20904,31685,91823,186028,402761,314,15529,696455
PDX,Portland, OR, Portland International,March,3,Q1,2006,38777,344,479,240,3,21,12,26,1087,3,3398,4514,15660,26700,8516,113,1496,52485
PHL,Philadelphia, PA, Philadelphia International,March,3,Q1,2006,38777,465,513,867,4,69,14,89,1922,3,7594,9608,24224,30626,35536,127,4948,95461
PHX,Phoenix, AZ, Phoenix Sky Harbor International,March,3,Q1,2006,38777,1023,1445,1389,21,79,15,160,3956,19,14372,18507,48479,72798,46360,649,6158,174444
SAN,San Diego, CA, San Diego International,March,3,Q1,2006,38777,637,654,571,8,25,15,70,1897,6,5909,7882,27051,33396,18145,355,1789,80736
SEA,Seattle, WA, Seattle/Tacoma International,March,3,Q1,2006,38777,533,804,552,5,41,13,61,1936,7,6419,8423,27947,49761,17249,155,3139,98251
SFO,San Francisco, CA, San Francisco International,March,3,Q1,2006,38777,932,964,2150,12,55,14,251,4117,5,6591,10964,44277,70775,120625,573,3833,240083
SLC,Salt Lake City, UT, Salt Lake City International,March,3,Q1,2006,38777,911,912,610,24,180,13,116,2636,15,9230,11997,40020,54490,20913,733,14383,130539
TPA,Tampa, FL, Tampa International,March,3,Q1,2006,38777,374,488,230,10,30,12,12,1131,5,5758,6906,17509,24960,8577,304,2127,53477
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,April,4,Q2,2006,38808,1536,1434,3775,39,317,13,470,7104,71,25606,33251,99162,84534,172490,4949,19977,381112
BOS,Boston, MA, Logan International,April,4,Q2,2006,38808,543,627,1157,5,60,13,136,2396,4,8415,10951,26835,39605,45700,245,3831,116216
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,April,4,Q2,2006,38808,383,673,305,4,54,14,40,1420,13,7208,8681,17092,36580,13304,141,5462,72579
CLT,Charlotte, NC, Charlotte Douglas International,April,4,Q2,2006,38808,506,620,678,4,53,12,134,1862,28,7560,9584,24238,33378,21682,206,3060,82564
DCA,Washington, DC, Ronald Reagan Washington National,April,4,Q2,2006,38808,387,388,512,5,41,15,82,1332,9,6351,7774,18308,21500,20619,193,2787,63407
DEN,Denver, CO, Denver International,April,4,Q2,2006,38808,917,992,773,11,49,15,184,2744,6,15374,18308,47335,54348,24260,585,2937,129465
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,April,4,Q2,2006,38808,947,2144,1669,5,174,16,315,4940,33,19435,24723,63178,122487,65813,147,13045,264670
DTW,Detroit, MI, Detroit Metro Wayne County,April,4,Q2,2006,38808,508,505,533,4,62,15,79,1608,6,8622,10315,32682,26659,15850,122,4035,79348
EWR,Newark, NJ, Newark Liberty International,April,4,Q2,2006,38808,429,1076,2691,9,92,13,232,4297,37,8769,13335,28764,70448,157010,413,5707,262342
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,April,4,Q2,2006,38808,276,362,302,1,32,11,9,974,7,5224,6214,13225,19983,10594,119,1610,45531
IAD,Washington, DC, Washington Dulles International,April,4,Q2,2006,38808,371,650,335,1,34,14,145,1389,36,6393,7963,17816,43751,13154,20,1688,76429
JFK,New York, NY, John F. Kennedy International,April,4,Q2,2006,38808,421,551,861,9,32,12,30,1874,20,6705,8629,21873,26728,26720,384,1720,77425
LAS,Las Vegas, NV, McCarran International,April,4,Q2,2006,38808,867,1432,1155,9,51,17,78,3513,15,11632,15238,41241,69281,36092,249,3315,150178
LAX,Los Angeles, CA, Los Angeles International,April,4,Q2,2006,38808,1323,1389,1439,13,62,16,171,4226,10,14464,18871,61752,73561,45205,422,3839,184779
LGA,New York, NY, LaGuardia,April,4,Q2,2006,38808,478,632,1570,2,115,15,177,2796,29,7403,10405,25894,39980,75194,92,6979,148139
MCO,Orlando, FL, Orlando International,April,4,Q2,2006,38808,502,669,493,3,48,16,16,1715,11,8759,10501,24040,39227,17474,128,2468,83337
MDW,Chicago, IL, Chicago Midway International,April,4,Q2,2006,38808,356,724,526,7,82,13,51,1696,83,6327,8157,14697,38977,22421,327,6227,82649
MIA,Miami, FL, Miami International,April,4,Q2,2006,38808,340,305,339,1,31,11,20,1017,3,4716,5756,18993,17255,11559,94,2472,50373
MSP,Minneapolis, MN, Minneapolis-St Paul International,April,4,Q2,2006,38808,507,451,503,8,77,14,74,1547,46,8560,10227,41662,25275,19469,224,5537,92167
ORD,Chicago, IL, Chicago O'Hare International,April,4,Q2,2006,38808,1248,2252,3978,2,157,12,769,7637,86,22206,30698,82190,149278,266814,84,11741,510107
PDX,Portland, OR, Portland International,April,4,Q2,2006,38808,303,365,136,6,15,12,13,825,0,3797,4635,15119,19292,4438,253,1728,40830
PHL,Philadelphia, PA, Philadelphia International,April,4,Q2,2006,38808,437,641,1222,3,81,14,90,2383,15,6714,9202,21849,39059,61008,203,6056,128175
PHX,Phoenix, AZ, Phoenix Sky Harbor International,April,4,Q2,2006,38808,930,1239,1074,16,49,15,144,3309,12,14121,17586,45015,59924,30026,380,3689,139034
SAN,San Diego, CA, San Diego International,April,4,Q2,2006,38808,564,614,457,6,25,15,50,1667,6,5745,7468,23750,29410,14267,141,2278,69846
SEA,Seattle, WA, Seattle/Tacoma International,April,4,Q2,2006,38808,486,707,441,8,19,13,44,1660,6,6814,8524,22996,43106,13775,386,1285,81548
SFO,San Francisco, CA, San Francisco International,April,4,Q2,2006,38808,764,771,1818,7,54,14,213,3413,3,7195,10824,39953,45559,97933,437,2943,186825
SLC,Salt Lake City, UT, Salt Lake City International,April,4,Q2,2006,38808,560,543,311,6,67,13,68,1486,4,9844,11402,27703,27146,10156,299,3735,69039
TPA,Tampa, FL, Tampa International,April,4,Q2,2006,38808,325,473,272,3,27,12,10,1098,5,5452,6565,15452,25562,9695,100,1674,52483
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,May,5,Q2,2006,38838,1561,1638,3988,8,341,13,311,7534,32,26414,34291,96728,91200,169093,271,18692,375984
BOS,Boston, MA, Logan International,May,5,Q2,2006,38838,521,743,2301,1,132,13,210,3699,21,6994,10924,31440,55489,133335,33,9973,230270
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,May,5,Q2,2006,38838,453,834,369,5,61,14,51,1721,15,7237,9024,20297,44404,14436,109,3618,82864
CLT,Charlotte, NC, Charlotte Douglas International,May,5,Q2,2006,38838,597,596,638,1,49,11,108,1881,28,7763,9780,28686,37022,22435,70,3625,91838
DCA,Washington, DC, Ronald Reagan Washington National,May,5,Q2,2006,38838,438,526,540,1,79,15,131,1585,14,6343,8073,22428,32079,20877,19,5193,80596
DEN,Denver, CO, Denver International,May,5,Q2,2006,38838,938,1157,955,8,56,16,151,3114,32,16635,19932,50562,69283,29422,334,4280,153881
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,May,5,Q2,2006,38838,980,2537,1476,5,173,16,305,5165,17,20235,25722,65158,129974,48029,109,10043,253313
DTW,Detroit, MI, Detroit Metro Wayne County,May,5,Q2,2006,38838,539,551,701,3,151,15,89,1944,10,8589,10632,34233,32271,25904,54,9929,102391
EWR,Newark, NJ, Newark Liberty International,May,5,Q2,2006,38838,432,1014,2738,6,114,13,211,4302,48,8844,13405,26305,69148,149818,208,7294,252773
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,May,5,Q2,2006,38838,294,373,375,3,36,11,8,1083,23,4386,5500,12835,21896,13703,93,1939,50466
IAD,Washington, DC, Washington Dulles International,May,5,Q2,2006,38838,426,710,361,3,27,14,114,1525,13,6433,8085,23489,46136,13124,79,2287,85115
JFK,New York, NY, John F. Kennedy International,May,5,Q2,2006,38838,401,469,784,5,67,12,58,1727,42,6648,8475,22891,28201,26450,215,4674,82431
LAS,Las Vegas, NV, McCarran International,May,5,Q2,2006,38838,683,1225,967,9,72,18,89,2954,6,12753,15802,33799,64276,38441,311,4654,141481
LAX,Los Angeles, CA, Los Angeles International,May,5,Q2,2006,38838,1202,1256,981,12,84,15,199,3535,17,16016,19767,60637,68043,31287,334,5125,165426
LGA,New York, NY, LaGuardia,May,5,Q2,2006,38838,449,639,2165,2,201,15,253,3455,74,7041,10823,26258,40958,104833,50,11652,183751
MCO,Orlando, FL, Orlando International,May,5,Q2,2006,38838,485,686,545,2,50,15,26,1766,27,8330,10149,25457,37502,18666,139,3124,84888
MDW,Chicago, IL, Chicago Midway International,May,5,Q2,2006,38838,411,777,574,6,112,13,56,1879,42,6523,8500,19061,41795,26541,269,8902,96568
MIA,Miami, FL, Miami International,May,5,Q2,2006,38838,331,327,453,1,37,11,51,1149,34,4460,5694,20989,20886,17366,37,2393,61671
MSP,Minneapolis, MN, Minneapolis-St Paul International,May,5,Q2,2006,38838,491,428,448,3,95,14,60,1466,22,9041,10589,31101,25808,15261,96,5635,77901
ORD,Chicago, IL, Chicago O'Hare International,May,5,Q2,2006,38838,1390,2507,4881,2,211,12,1202,8995,124,21655,31976,95276,186237,383262,90,19263,684128
PDX,Portland, OR, Portland International,May,5,Q2,2006,38838,285,349,188,4,16,12,21,841,2,4017,4881,12245,20669,6241,78,962,40195
PHL,Philadelphia, PA, Philadelphia International,May,5,Q2,2006,38838,464,643,1117,1,88,14,63,2315,21,6876,9275,20728,37460,41899,84,4755,104926
PHX,Phoenix, AZ, Phoenix Sky Harbor International,May,5,Q2,2006,38838,848,950,619,11,48,15,160,2473,11,15490,18134,41554,47667,19242,269,2950,111682
SAN,San Diego, CA, San Diego International,May,5,Q2,2006,38838,469,532,308,3,34,16,53,1343,9,6491,7896,19743,25525,10378,174,1490,57310
SEA,Seattle, WA, Seattle/Tacoma International,May,5,Q2,2006,38838,534,605,520,5,39,14,48,1704,10,7558,9320,25399,35363,16176,145,2943,80026
SFO,San Francisco, CA, San Francisco International,May,5,Q2,2006,38838,772,775,758,7,34,13,147,2347,6,8605,11105,37492,45027,28625,153,2025,113322
SLC,Salt Lake City, UT, Salt Lake City International,May,5,Q2,2006,38838,481,402,239,5,36,13,87,1163,5,10528,11783,24063,20179,7039,143,2032,53456
TPA,Tampa, FL, Tampa International,May,5,Q2,2006,38838,335,479,339,3,33,11,11,1190,1,4943,6145,16059,25019,11292,66,1851,54287
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,June,6,Q2,2006,38869,2464,2276,3086,8,638,13,693,8470,177,24447,33787,166260,160781,184943,512,46773,559269
BOS,Boston, MA, Logan International,June,6,Q2,2006,38869,688,962,2125,3,186,13,367,3963,19,6397,10746,45008,81143,134710,131,16813,277805
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,June,6,Q2,2006,38869,596,1072,727,6,178,14,92,2582,41,6371,9086,30239,74813,42323,246,15775,163396
CLT,Charlotte, NC, Charlotte Douglas International,June,6,Q2,2006,38869,876,815,764,0,103,11,229,2558,29,6550,9366,48315,57667,33320,0,9394,148696
DCA,Washington, DC, Ronald Reagan Washington National,June,6,Q2,2006,38869,498,558,907,3,118,14,271,2078,70,5375,7794,27351,39973,48006,85,12234,127649
DEN,Denver, CO, Denver International,June,6,Q2,2006,38869,1301,1489,1171,11,109,15,263,4082,76,15675,20096,69938,97045,46100,461,8522,222066
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,June,6,Q2,2006,38869,1144,2349,1279,9,152,16,322,4930,23,19946,25221,78200,130597,53267,305,10912,273281
DTW,Detroit, MI, Detroit Metro Wayne County,June,6,Q2,2006,38869,682,650,888,7,220,15,186,2445,39,7726,10396,50674,42768,43206,373,25567,162588
EWR,Newark, NJ, Newark Liberty International,June,6,Q2,2006,38869,589,1260,2922,9,139,13,610,4923,142,7633,13308,44022,104578,238962,607,13393,401562
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,June,6,Q2,2006,38869,396,529,404,2,50,11,21,1380,8,3834,5243,20792,35762,17631,101,3534,77820
IAD,Washington, DC, Washington Dulles International,June,6,Q2,2006,38869,623,903,604,3,54,13,364,2188,40,5246,7838,46052,91872,33278,141,4900,176243
JFK,New York, NY, John F. Kennedy International,June,6,Q2,2006,38869,560,776,1381,6,135,13,123,2858,53,5708,8742,34696,56529,72833,170,11337,175565
LAS,Las Vegas, NV, McCarran International,June,6,Q2,2006,38869,924,1697,932,10,73,18,111,3632,18,11752,15513,46318,94713,36178,238,5742,183189
LAX,Los Angeles, CA, Los Angeles International,June,6,Q2,2006,38869,1358,1537,1006,9,121,16,215,4033,17,15438,19703,67098,92614,39236,253,8413,207614
LGA,New York, NY, LaGuardia,June,6,Q2,2006,38869,575,838,2323,1,210,15,532,3947,79,6154,10712,36242,64555,147994,26,16116,264933
MCO,Orlando, FL, Orlando International,June,6,Q2,2006,38869,711,927,780,4,93,15,34,2512,10,7220,9776,37845,62799,30796,196,6796,138432
MDW,Chicago, IL, Chicago Midway International,June,6,Q2,2006,38869,585,1054,555,7,108,13,70,2312,33,6111,8526,29194,69035,25201,251,8888,132569
MIA,Miami, FL, Miami International,June,6,Q2,2006,38869,425,456,543,3,68,11,64,1496,21,3872,5453,27289,34772,23972,95,5328,91456
MSP,Minneapolis, MN, Minneapolis-St Paul International,June,6,Q2,2006,38869,693,554,568,7,162,14,86,1980,20,8824,10910,45909,36572,22658,214,13063,118416
ORD,Chicago, IL, Chicago O'Hare International,June,6,Q2,2006,38869,1748,3219,2927,12,216,12,773,8121,62,22330,31286,116084,229989,165308,393,18670,530444
PDX,Portland, OR, Portland International,June,6,Q2,2006,38869,387,533,263,4,27,12,25,1217,3,3792,5037,18782,29700,9485,133,1806,59906
