Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Cameroon,903,Africa,911,Middle Africa,902,Less developed regions,65,69,95,92,145,123,130,132,157,187,380,452,236,262,305,506,803,895,690,824,860,791,984,927,1309,1458,2919,3392,3771,3463,4161,4754,3815,3908
Immigrants,Foreigners,Canada,905,Northern America,905,Northern America,901,More developed regions,13609,11191,10786,11390,10791,11385,11039,11876,11783,12151,16812,13504,15205,17156,16068,12932,15800,11583,10130,8782,16057,21752,19352,11350,15569,21878,18207,15495,15109,16140,13328,12800,12932,13181
Immigrants,Foreigners,Cayman Islands,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,95,92,55,46,26,19,39,25,26,48,53,23,40,..,30,26,24,35,28,18,31,23,24,35,38,37,65,40,37,45,52,41,44,44
Immigrants,Foreigners,Central African Republic,903,Africa,911,Middle Africa,902,Less developed regions,3,2,3,1,0,2,2,3,1,..,14,8,8,15,..,..,27,10,6,3,4,11,13,6,17,24,51,52,88,107,101,134,116,213
Immigrants,Foreigners,Chad,903,Africa,911,Middle Africa,902,Less developed regions,6,5,2,4,2,1,4,1,2,4,8,9,4,3,9,11,13,18,8,24,23,44,47,8,23,31,73,74,96,102,120,171,155,111
Immigrants,Foreigners,Chile,904,Latin America and the Caribbean,931,South America,902,Less developed regions,2569,2048,1911,1970,1912,1992,2243,2140,2137,3037,4049,2842,1937,1778,1640,1534,1706,1442,1228,1085,1700,1921,1839,1310,1810,2404,2774,2274,2017,2250,1950,1853,1673,1736
Immigrants,Foreigners,China,935,Asia,906,Eastern Asia,902,Less developed regions,27651,25803,27100,25777,23363,24787,25106,25841,28717,32272,31815,33025,38907,65578,53985,35463,41720,41128,36854,32159,45585,56267,61082,40568,55494,69933,87307,76655,80271,64238,70863,87016,81784,71798
Immigrants,Foreigners,"China, Hong Kong Special Administrative Region",935,Asia,906,Eastern Asia,902,Less developed regions,3860,4055,4971,5948,5465,5171,5021,4706,8546,9740,9393,10427,10452,9161,7731,7249,7833,5574,5272,4910,5407,8300,6075,3574,3951,3705,3256,3527,3373,2651,2432,2306,2104,2226
Immigrants,Foreigners,"China, Macao Special Administrative Region",935,Asia,906,Eastern Asia,902,Less developed regions,261,280,225,246,260,271,243,254,183,246,301,267,320,334,287,373,453,277,276,294,270,340,284,244,192,133,189,178,205,158,143,130,120,106
Immigrants,Foreigners,Colombia,904,Latin America and the Caribbean,931,South America,902,Less developed regions,11289,10335,8608,9658,11020,11982,11408,11700,10322,15214,24189,19702,13201,12819,10847,10838,14275,12993,11801,9928,14427,16627,18758,14720,18846,25566,43144,33187,30213,27849,22406,22635,20931,21131
Immigrants,Foreigners,Comoros,903,Africa,910,Eastern Africa,902,Less developed regions,3,1,0,1,0,1,0,0,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,10,3
Immigrants,Foreigners,Congo,903,Africa,911,Middle Africa,902,Less developed regions,18,13,7,8,6,9,6,12,4,10,9,22,9,10,11,11,23,31,118,190,189,311,677,513,670,1064,1600,972,950,1563,968,1371,1461,1059
Immigrants,Foreigners,Cook Islands,909,Oceania,957,Polynesia,902,Less developed regions,0,0,4,0,0,0,2,0,1,7,5,8,6,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Costa Rica,904,Latin America and the Caribbean,916,Central America,902,Less developed regions,1535,1359,1272,1182,1473,1281,1356,1391,1351,1985,2840,2341,1480,1368,1205,1062,1502,1330,1199,883,1310,1733,1591,1246,1755,2278,3109,2540,2090,2384,2164,2135,2020,2114
Immigrants,Foreigners,Côte d'Ivoire,903,Africa,914,Western Africa,902,Less developed regions,28,28,29,54,55,57,55,63,78,98,184,347,259,250,268,289,432,430,364,303,439,596,629,483,666,930,2067,1193,1645,2159,1621,1302,1760,1486
Immigrants,Foreigners,Croatia,908,Europe,925,Southern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,77,370,412,608,810,717,547,580,1058,2853,3798,1153,1511,1780,945,482,455,496,357,349,336,353
Immigrants,Foreigners,Cuba,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,15054,10858,8209,8978,10599,20334,33114,28916,17558,10046,10645,10349,11791,13666,14727,17937,26438,33524,17304,14019,18960,27453,28182,9262,20488,36261,45614,29104,49500,38954,33573,36452,32820,32219
Immigrants,Foreigners,Cyprus,935,Asia,922,Western Asia,902,Less developed regions,279,326,276,265,291,294,307,331,286,284,316,243,262,229,204,188,185,147,119,106,160,216,158,123,143,196,180,137,141,142,122,101,107,126
Immigrants,Foreigners,Czech Republic,908,Europe,923,Eastern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,..,0,11,72,165,186,144,145,244,307,267,267,457,476,344,287,227,146,190,303,677,676
Immigrants,Foreigners,Democratic People's Republic of Korea,935,Asia,906,Eastern Asia,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67,35,36,49,48
Immigrants,Foreigners,Democratic Republic of the Congo,903,Africa,911,Middle Africa,902,Less developed regions,70,77,87,101,85,109,135,102,139,140,256,238,196,233,237,355,433,414,155,87,123,145,178,110,155,260,738,1129,1261,2122,1764,2424,3731,2792
Immigrants,Foreigners,Denmark,908,Europe,924,Northern Europe,901,More developed regions,504,506,463,513,512,478,554,537,558,593,666,601,764,735,606,551,607,429,454,367,537,706,609,405,566,718,699,517,498,603,518,459,459,506
Immigrants,Foreigners,Djibouti,903,Africa,910,Eastern Africa,902,Less developed regions,2,8,7,6,2,8,9,7,8,8,22,21,14,14,10,25,19,18,15,6,14,22,30,16,37,50,34,23,39,54,37,56,106,90
Immigrants,Foreigners,Dominica,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,846,721,569,546,442,540,564,740,611,748,963,982,809,683,507,591,797,746,283,40,95,93,148,204,132,198,471,428,454,484,366,287,125,244
Immigrants,Foreigners,Dominican Republic,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,17245,18220,17451,22058,23147,23787,26175,24858,27189,26723,42195,41405,41969,45420,51189,38512,39599,27047,20355,17811,17465,21195,22515,26159,30506,27503,38068,28024,31879,49414,53870,46109,41566,41311
Immigrants,Foreigners,Ecuador,904,Latin America and the Caribbean,931,South America,902,Less developed regions,6133,5129,4127,4243,4164,4482,4516,4641,4716,7532,12476,9958,7286,7324,5906,6397,8319,7779,6843,8882,7651,9665,10561,7066,8626,11608,17489,12248,11663,12128,11492,11103,9342,10591
